	Z1	Z2	Z3	St_coeff1	St_coeff2	St_coeff3	Eneg1	Eneg2	Eneg3	Space Group	Composition
40	49	8	23	2.0	5.0	1.0	1.78	3.44	1.63	62	V1 In2 O5
41	5	26	8	1.0	3.0	6.0	2.04	1.83	3.44	62	Fe3 B1 O6
42	15	8	40	2.0	9.0	2.0	2.19	3.44	1.33	64	Zr2 P2 O9
43	17	8	23	1.0	1.0	1.0	3.16	3.44	1.63	59	V1 Cl1 O1
44	24	6	8	1.0	6.0	6.0	1.66	2.55	3.44	62	Cr1 C6 O6
45	39	8	31	1.0	3.0	1.0	1.22	3.44	1.81	185	Y1 Ga1 O3
46	28	5	8	3.0	2.0	6.0	1.91	2.04	3.44	58	Ni3 B2 O6
47	82	8	22	1.0	7.0	3.0	2.33	3.44	1.54	11	Ti3 Pb1 O7
48	8	74	13	12.0	3.0	2.0	3.44	2.36	1.61	60	Al2 W3 O12
49	28	14	8	2.0	1.0	4.0	1.91	1.9	3.44	227	Si1 Ni2 O4
50	80	8	17	3.0	2.0	2.0	2.0	3.44	3.16	14	Hg3 Cl2 O2
51	8	74	50	4.0	1.0	1.0	3.44	2.36	1.96	52	Sn1 W1 O4
52	8	29	49	5.0	2.0	2.0	3.44	1.9	1.78	33	In2 Cu2 O5
53	53	8	29	2.0	6.0	1.0	2.66	3.44	1.9	11	Cu1 I2 O6
54	81	8	46	1.0	4.0	3.0	1.62	3.44	2.2	225	Tl1 Pd3 O4
55	82	8	46	1.0	2.0	1.0	2.33	3.44	2.2	74	Pd1 Pb1 O2
56	16	31	48	4.0	2.0	1.0	2.58	1.81	1.69	82	Cd1 Ga2 S4
57	34	31	48	4.0	2.0	1.0	2.55	1.81	1.69	82	Cd1 Ga2 Se4
58	51	8	23	2.0	5.0	1.0	2.05	3.44	1.63	15	V1 Sb2 O5
59	15	16	46	1.0	1.0	1.0	2.19	2.58	2.2	60	P1 Pd1 S1
60	34	47	31	6.0	9.0	1.0	2.55	1.93	1.81	198	Ga1 Ag9 Se6
61	33	34	47	1.0	3.0	3.0	2.18	2.55	1.93	161	Ag3 As1 Se3
62	82	16	40	1.0	3.0	1.0	2.33	2.58	1.33	62	Zr1 Pb1 S3
63	15	16	80	2.0	7.0	2.0	2.19	2.58	2.0	5	Hg2 P2 S7
64	15	16	80	2.0	6.0	2.0	2.19	2.58	2.0	2	Hg2 P2 S6
65	15	80	34	2.0	2.0	6.0	2.19	2.0	2.55	15	Hg2 P2 Se6
66	6	77	8	12.0	4.0	12.0	2.55	2.2	3.44	143	Ir4 C12 O12
67	82	25	8	3.0	7.0	15.0	2.33	1.55	3.44	36	Mn7 Pb3 O15
68	39	16	9	1.0	1.0	1.0	1.22	2.58	3.98	194	Y1 S1 F1
69	42	83	8	3.0	2.0	12.0	2.16	2.02	3.44	14	Bi2 Mo3 O12
70	13	8	22	2.0	5.0	1.0	1.61	3.44	1.54	63	Ti1 Al2 O5
71	15	34	29	1.0	4.0	3.0	2.19	2.55	1.9	31	Cu3 P1 Se4
72	26	8	9	1.0	1.0	1.0	1.83	3.44	3.98	136	Fe1 O1 F1
73	79	34	35	1.0	1.0	1.0	2.54	2.55	2.96	62	Au1 Se1 Br1
74	6	26	8	12.0	3.0	12.0	2.55	1.83	3.44	14	Fe3 C12 O12
75	6	27	8	12.0	4.0	12.0	2.55	1.88	3.44	56	Co4 C12 O12
76	6	45	8	20.0	8.0	19.0	2.55	2.28	3.44	2	Rh8 C20 O19
77	24	8	17	1.0	1.0	1.0	1.66	3.44	3.16	59	Cr1 Cl1 O1
78	39	13	8	1.0	1.0	3.0	1.22	1.61	3.44	62	Y1 Al1 O3
79	49	8	48	2.0	4.0	1.0	1.78	3.44	1.69	227	Cd1 In2 O4
80	81	8	73	1.0	3.0	1.0	1.62	3.44	1.5	227	Ta1 Tl1 O3
81	8	74	13	4.0	1.0	1.0	3.44	2.36	1.61	12	Al1 W1 O4
82	44	83	8	3.0	3.0	11.0	2.2	2.02	3.44	201	Bi3 Ru3 O11
83	15	8	48	2.0	6.0	1.0	2.19	3.44	1.69	61	Cd1 P2 O6
84	15	26	8	1.0	1.0	4.0	2.19	1.83	3.44	152	Fe1 P1 O4
85	28	8	15	3.0	8.0	2.0	1.91	3.44	2.19	14	Ni3 P2 O8
86	15	80	8	2.0	3.0	8.0	2.19	2.0	3.44	14	Hg3 P2 O8
87	15	25	8	4.0	1.0	11.0	2.19	1.55	3.44	14	Mn1 P4 O11
88	42	8	17	1.0	1.0	3.0	2.16	3.44	3.16	14	Mo1 Cl3 O1
89	32	25	8	1.0	1.0	3.0	2.01	1.55	3.44	61	Mn1 Ge1 O3
90	6	26	8	9.0	2.0	9.0	2.55	1.83	3.44	176	Fe2 C9 O9
91	76	8	9	1.0	2.0	2.0	2.2	3.44	3.98	218	Os1 O2 F2
92	8	31	22	5.0	2.0	1.0	3.44	1.81	1.54	63	Ti1 Ga2 O5
93	81	8	22	2.0	3.0	1.0	1.62	3.44	1.54	62	Ti1 Tl2 O3
94	81	8	23	1.0	3.0	1.0	1.62	3.44	1.63	57	Tl1 V1 O3
95	82	8	23	1.0	6.0	2.0	2.33	3.44	1.63	62	V2 Pb1 O6
96	5	8	25	4.0	7.0	1.0	2.04	3.44	1.55	61	Mn1 B4 O7
97	6	8	29	1.0	3.0	1.0	2.55	3.44	1.9	8	Cu1 C1 O3
98	15	26	8	2.0	3.0	8.0	2.19	1.83	3.44	14	Fe3 P2 O8
99	15	27	8	2.0	3.0	8.0	2.19	1.88	3.44	14	Co3 P2 O8
100	32	25	8	1.0	2.0	4.0	2.01	1.55	3.44	74	Mn2 Ge1 O4
101	6	8	47	1.0	3.0	2.0	2.55	3.44	1.93	11	Ag2 C1 O3
102	6	8	23	6.0	6.0	1.0	2.55	3.44	1.63	62	V1 C6 O6
103	33	26	8	4.0	2.0	12.0	2.18	1.83	3.44	173	Fe2 As4 O12
104	79	8	17	1.0	1.0	1.0	2.54	3.44	3.16	148	Au1 Cl1 O1
105	51	42	8	2.0	10.0	31.0	2.05	2.16	3.44	28	Sb2 Mo10 O31
106	50	8	48	1.0	4.0	2.0	1.96	3.44	1.69	55	Cd2 Sn1 O4
107	51	8	47	1.0	3.0	1.0	2.05	3.44	1.93	204	Ag1 Sb1 O3
108	30	5	8	1.0	4.0	7.0	1.65	2.04	3.44	61	Zn1 B4 O7
109	5	8	29	2.0	4.0	1.0	2.04	3.44	1.9	122	Cu1 B2 O4
110	82	8	48	1.0	3.0	1.0	2.33	3.44	1.69	206	Cd1 Pb1 O3
111	81	8	22	2.0	9.0	4.0	1.62	3.44	1.54	12	Ti4 Tl2 O9
112	32	8	48	1.0	4.0	2.0	2.01	3.44	1.69	62	Cd2 Ge1 O4
113	32	8	48	1.0	3.0	1.0	2.01	3.44	1.69	15	Cd1 Ge1 O3
114	30	8	31	1.0	4.0	2.0	1.65	3.44	1.81	227	Zn1 Ga2 O4
115	24	81	8	1.0	2.0	4.0	1.66	1.62	3.44	62	Tl2 Cr1 O4
116	75	8	17	1.0	1.0	4.0	1.9	3.44	3.16	14	Re1 Cl4 O1
117	28	13	8	1.0	2.0	4.0	1.91	1.61	3.44	227	Al2 Ni1 O4
118	8	13	29	4.0	2.0	1.0	3.44	1.61	1.9	227	Al2 Cu1 O4
119	14	8	40	1.0	4.0	1.0	1.9	3.44	1.33	141	Zr1 Si1 O4
120	8	83	46	4.0	2.0	1.0	3.44	2.02	2.2	108	Bi2 Pd1 O4
121	8	47	17	4.0	1.0	1.0	3.44	1.93	3.16	121	Ag1 Cl1 O4
122	32	26	8	2.0	3.0	8.0	2.01	1.83	3.44	14	Fe3 Ge2 O8
123	41	34	9	2.0	1.0	14.0	1.6	2.55	3.98	14	Nb2 Se1 F14
124	41	34	9	1.0	1.0	9.0	1.6	2.55	3.98	146	Nb1 Se1 F9
125	16	27	49	2.0	3.0	2.0	2.58	1.88	1.78	166	In2 Co3 S2
126	41	34	17	3.0	5.0	7.0	1.6	2.55	3.16	11	Nb3 Se5 Cl7
127	14	8	47	4.0	13.0	10.0	1.9	3.44	1.93	2	Si4 Ag10 O13
128	34	35	29	3.0	1.0	1.0	2.55	2.96	1.9	53	Cu1 Se3 Br1
129	41	83	8	1.0	1.0	4.0	1.6	2.02	3.44	2	Nb1 Bi1 O4
130	75	8	17	4.0	9.0	8.0	1.9	3.44	3.16	2	Re4 Cl8 O9
131	8	74	9	1.0	1.0	4.0	3.44	2.36	3.98	12	W1 O1 F4
132	8	35	22	1.0	1.0	1.0	3.44	2.96	1.54	59	Ti1 Br1 O1
133	49	8	23	1.0	4.0	1.0	1.78	3.44	1.63	63	V1 In1 O4
134	32	34	47	1.0	6.0	8.0	2.01	2.55	1.93	31	Ag8 Ge1 Se6
135	8	50	74	46.0	10.0	16.0	3.44	1.96	2.36	176	Sn10 W16 O46
136	81	8	74	2.0	13.0	4.0	1.62	3.44	2.36	57	Tl2 W4 O13
137	75	83	8	1.0	1.0	4.0	1.9	2.02	3.44	63	Re1 Bi1 O4
138	75	83	8	2.0	1.0	6.0	1.9	2.02	3.44	12	Re2 Bi1 O6
139	41	34	17	1.0	2.0	2.0	1.6	2.55	3.16	2	Nb1 Se2 Cl2
140	16	41	17	2.0	1.0	2.0	2.58	1.6	3.16	12	Nb1 S2 Cl2
141	8	83	29	4.0	2.0	1.0	3.44	2.02	1.9	79	Cu1 Bi2 O4
142	75	8	17	2.0	4.0	5.0	1.9	3.44	3.16	1	Re2 Cl5 O4
143	53	8	47	1.0	3.0	1.0	2.66	3.44	1.93	29	Ag1 I1 O3
144	33	27	8	2.0	3.0	8.0	2.18	1.88	3.44	122	Co3 As2 O8
145	16	80	83	4.0	1.0	2.0	2.58	2.0	2.02	12	Hg1 Bi2 S4
146	30	5	8	3.0	2.0	6.0	1.65	2.04	3.44	15	Zn3 B2 O6
147	33	8	48	2.0	8.0	3.0	2.18	3.44	1.69	14	Cd3 As2 O8
148	39	8	9	1.0	1.0	1.0	1.22	3.44	3.98	166	Y1 O1 F1
149	39	8	31	3.0	12.0	5.0	1.22	3.44	1.81	230	Y3 Ga5 O12
150	5	8	48	4.0	7.0	1.0	2.04	3.44	1.69	61	Cd1 B4 O7
151	15	8	29	2.0	7.0	2.0	2.19	3.44	1.9	15	Cu2 P2 O7
152	33	8	74	2.0	11.0	2.0	2.18	3.44	2.36	62	As2 W2 O11
153	15	8	40	2.0	7.0	1.0	2.19	3.44	1.33	205	Zr1 P2 O7
154	16	83	29	8.0	5.0	1.0	2.58	2.02	1.9	12	Cu1 Bi5 S8
155	33	34	29	6.0	13.0	7.0	2.18	2.55	1.9	146	Cu7 As6 Se13
156	26	8	83	1.0	3.0	1.0	1.83	3.44	2.02	161	Fe1 Bi1 O3
157	30	16	13	1.0	4.0	2.0	1.65	2.58	1.61	227	Al2 Zn1 S4
158	53	8	40	4.0	12.0	1.0	2.66	3.44	1.33	85	Zr1 I4 O12
159	8	47	17	2.0	1.0	1.0	3.44	1.93	3.16	54	Ag1 Cl1 O2
160	15	8	47	1.0	3.0	1.0	2.19	3.44	1.93	14	Ag1 P1 O3
161	5	8	47	1.0	2.0	1.0	2.04	3.44	1.93	60	Ag1 B1 O2
162	33	34	29	1.0	1.0	1.0	2.18	2.55	1.9	60	Cu1 As1 Se1
163	16	14	40	1.0	1.0	1.0	2.58	1.9	1.33	129	Zr1 Si1 S1
164	14	40	34	1.0	1.0	1.0	1.9	1.33	2.55	129	Zr1 Si1 Se1
165	14	52	40	1.0	1.0	1.0	1.9	2.1	1.33	129	Zr1 Si1 Te1
166	32	16	40	1.0	1.0	1.0	2.01	2.58	1.33	129	Zr1 Ge1 S1
167	32	40	34	1.0	1.0	1.0	2.01	1.33	2.55	129	Zr1 Ge1 Se1
168	32	52	40	1.0	1.0	1.0	2.01	2.1	1.33	129	Zr1 Ge1 Te1
169	16	30	49	4.0	1.0	2.0	2.58	1.65	1.78	160	Zn1 In2 S4
170	30	5	8	4.0	6.0	13.0	1.65	2.04	3.44	217	Zn4 B6 O13
171	16	33	26	1.0	1.0	1.0	2.58	2.18	1.83	3	Fe1 As1 S1
172	42	8	35	1.0	1.0	3.0	2.16	3.44	2.96	136	Mo1 Br3 O1
173	26	8	17	1.0	1.0	1.0	1.83	3.44	3.16	59	Fe1 Cl1 O1
174	15	16	41	1.0	1.0	1.0	2.19	2.58	1.6	71	Nb1 P1 S1
175	15	41	34	1.0	1.0	1.0	2.19	1.6	2.55	71	Nb1 P1 Se1
176	16	74	17	1.0	1.0	4.0	2.58	2.36	3.16	2	W1 S1 Cl4
177	16	74	35	1.0	1.0	4.0	2.58	2.36	2.96	14	W1 S1 Br4
178	41	83	8	17.0	3.0	47.0	1.6	2.02	3.44	32	Nb17 Bi3 O47
179	43	8	9	1.0	1.0	4.0	1.9	3.44	3.98	176	Tc1 O1 F4
180	32	30	8	1.0	2.0	4.0	2.01	1.65	3.44	148	Zn2 Ge1 O4
181	16	14	48	6.0	1.0	4.0	2.58	1.9	1.69	9	Cd4 Si1 S6
182	15	26	34	2.0	2.0	6.0	2.19	1.83	2.55	146	Fe2 P2 Se6
183	15	16	26	2.0	6.0	2.0	2.19	2.58	1.83	12	Fe2 P2 S6
184	15	16	46	2.0	8.0	3.0	2.19	2.58	2.2	164	P2 Pd3 S8
185	52	79	17	2.0	1.0	1.0	2.1	2.54	3.16	63	Te2 Au1 Cl1
186	15	16	22	2.0	6.0	1.0	2.19	2.58	1.54	43	Ti1 P2 S6
187	82	45	8	3.0	7.0	15.0	2.33	2.28	3.44	193	Rh7 Pb3 O15
188	83	8	22	4.0	12.0	3.0	2.02	3.44	1.54	41	Ti3 Bi4 O12
189	6	26	8	5.0	1.0	5.0	2.55	1.83	3.44	15	Fe1 C5 O5
190	16	81	73	4.0	3.0	1.0	2.58	1.62	1.5	217	Ta1 Tl3 S4
191	16	81	23	4.0	3.0	1.0	2.58	1.62	1.63	217	Tl3 V1 S4
192	21	15	8	1.0	1.0	4.0	1.36	2.19	3.44	141	Sc1 P1 O4
193	39	13	8	3.0	5.0	12.0	1.22	1.61	3.44	230	Y3 Al5 O12
194	32	8	29	1.0	3.0	1.0	2.01	3.44	1.9	26	Cu1 Ge1 O3
195	75	8	9	1.0	1.0	4.0	1.9	3.44	3.98	15	Re1 O1 F4
196	42	8	9	1.0	1.0	4.0	2.16	3.44	3.98	14	Mo1 O1 F4
197	76	8	9	1.0	1.0	5.0	2.2	3.44	3.98	62	Os1 O1 F5
198	16	80	9	2.0	3.0	2.0	2.58	2.0	3.98	199	Hg3 S2 F2
199	25	8	31	1.0	4.0	2.0	1.55	3.44	1.81	227	Mn1 Ga2 O4
200	5	8	47	8.0	13.0	2.0	2.04	3.44	1.93	14	Ag2 B8 O13
201	15	41	8	1.0	9.0	25.0	2.19	1.6	3.44	82	Nb9 P1 O25
202	41	8	31	1.0	4.0	1.0	1.6	3.44	1.81	5	Nb1 Ga1 O4
203	53	52	79	1.0	2.0	1.0	2.66	2.1	2.54	51	Te2 Au1 I1
204	15	27	8	2.0	2.0	7.0	2.19	1.88	3.44	3	Co2 P2 O7
205	8	47	7	11.0	7.0	1.0	3.44	1.93	3.04	225	Ag7 N1 O11
206	82	8	23	2.0	7.0	2.0	2.33	3.44	1.63	14	V2 Pb2 O7
207	14	25	8	1.0	7.0	12.0	1.9	1.55	3.44	142	Mn7 Si1 O12
208	42	16	81	18.0	22.0	4.0	2.16	2.58	1.62	148	Tl4 Mo18 S22
209	51	16	26	2.0	4.0	1.0	2.05	2.58	1.83	62	Fe1 Sb2 S4
210	8	29	17	1.0	2.0	2.0	3.44	1.9	3.16	70	Cu2 Cl2 O1
211	82	8	22	1.0	3.0	1.0	2.33	3.44	1.54	99	Ti1 Pb1 O3
212	51	16	29	1.0	4.0	3.0	2.05	2.58	1.9	121	Cu3 Sb1 S4
213	14	26	8	1.0	2.0	4.0	1.9	1.83	3.44	62	Fe2 Si1 O4
214	30	13	8	1.0	2.0	4.0	1.65	1.61	3.44	227	Al2 Zn1 O4
215	80	8	17	6.0	2.0	3.0	2.0	3.44	3.16	230	Hg6 Cl3 O2
216	42	83	8	1.0	2.0	6.0	2.16	2.02	3.44	29	Bi2 Mo1 O6
217	16	33	29	4.0	1.0	3.0	2.58	2.18	1.9	31	Cu3 As1 S4
218	82	26	8	1.0	12.0	19.0	2.33	1.83	3.44	194	Fe12 Pb1 O19
219	51	16	47	1.0	2.0	1.0	2.05	2.58	1.93	9	Ag1 Sb1 S2
220	14	27	8	1.0	1.0	3.0	1.9	1.88	3.44	61	Co1 Si1 O3
221	16	14	47	11.0	3.0	10.0	2.58	1.9	1.93	2	Si3 Ag10 S11
222	21	14	8	2.0	2.0	7.0	1.36	1.9	3.44	227	Sc2 Si2 O7
223	14	30	8	1.0	2.0	4.0	1.9	1.65	3.44	148	Zn2 Si1 O4
224	33	8	29	2.0	4.0	1.0	2.18	3.44	1.9	135	Cu1 As2 O4
225	51	26	8	2.0	1.0	4.0	2.05	1.83	3.44	135	Fe1 Sb2 O4
226	16	83	29	3.0	1.0	3.0	2.58	2.02	1.9	19	Cu3 Bi1 S3
227	50	8	73	1.0	7.0	2.0	1.96	3.44	1.5	15	Ta2 Sn1 O7
228	51	16	47	1.0	4.0	5.0	2.05	2.58	1.93	36	Ag5 Sb1 S4
229	14	26	8	1.0	1.0	3.0	1.9	1.83	3.44	61	Fe1 Si1 O3
230	16	33	47	2.0	1.0	1.0	2.58	2.18	1.93	148	Ag1 As1 S2
231	39	8	49	1.0	3.0	1.0	1.22	3.44	1.78	185	Y1 In1 O3
232	28	16	50	3.0	2.0	2.0	1.91	2.58	1.96	12	Ni3 Sn2 S2
233	6	76	8	16.0	5.0	16.0	2.55	2.2	3.44	152	Os5 C16 O16
234	21	32	8	2.0	1.0	5.0	1.36	2.01	3.44	15	Sc2 Ge1 O5
235	33	30	8	2.0	3.0	6.0	2.18	1.65	3.44	55	Zn3 As2 O6
236	6	76	8	19.0	5.0	19.0	2.55	2.2	3.44	2	Os5 C19 O19
237	82	24	8	2.0	1.0	5.0	2.33	1.66	3.44	12	Cr1 Pb2 O5
238	16	29	49	8.0	1.0	5.0	2.58	1.9	1.78	216	In5 Cu1 S8
239	15	26	8	2.0	2.0	7.0	2.19	1.83	3.44	1	Fe2 P2 O7
240	83	8	22	2.0	11.0	4.0	2.02	3.44	1.54	15	Ti4 Bi2 O11
241	26	8	83	4.0	9.0	2.0	1.83	3.44	2.02	55	Fe4 Bi2 O9
242	33	34	47	1.0	2.0	1.0	2.18	2.55	1.93	166	Ag1 As1 Se2
243	15	8	48	2.0	8.0	3.0	2.19	3.44	1.69	64	Cd3 P2 O8
244	15	25	8	2.0	2.0	7.0	2.19	1.55	3.44	12	Mn2 P2 O7
245	16	81	48	2.0	1.0	1.0	2.58	1.62	1.69	164	Tl1 Cd1 S2
246	24	81	8	2.0	2.0	8.0	1.66	1.62	3.44	62	Tl2 Cr2 O8
247	81	8	23	1.0	8.0	3.0	1.62	3.44	1.63	11	Tl1 V3 O8
248	15	26	8	6.0	7.0	24.0	2.19	1.83	3.44	2	Fe7 P6 O24
249	51	16	48	6.0	11.0	2.0	2.05	2.58	1.69	31	Cd2 Sb6 S11
250	32	27	8	1.0	2.0	4.0	2.01	1.88	3.44	227	Co2 Ge1 O4
251	41	8	17	3.0	7.0	1.0	1.6	3.44	3.16	62	Nb3 Cl1 O7
252	81	8	78	2.0	7.0	2.0	1.62	3.44	2.28	227	Tl2 Pt2 O7
253	6	43	8	10.0	2.0	10.0	2.55	1.9	3.44	15	Tc2 C10 O10
254	75	81	8	1.0	1.0	4.0	1.9	1.62	3.44	62	Tl1 Re1 O4
255	15	8	40	4.0	12.0	1.0	2.19	3.44	1.33	9	Zr1 P4 O12
256	32	8	48	2.0	5.0	1.0	2.01	3.44	1.69	2	Cd1 Ge2 O5
257	6	76	8	16.0	5.0	15.0	2.55	2.2	3.44	14	Os5 C16 O15
258	14	8	48	1.0	5.0	3.0	1.9	3.44	1.69	129	Cd3 Si1 O5
259	16	25	50	4.0	2.0	1.0	2.58	1.55	1.96	65	Mn2 Sn1 S4
260	42	34	49	6.0	8.0	1.0	2.16	2.55	1.78	148	In1 Mo6 Se8
261	42	34	49	15.0	19.0	2.0	2.16	2.55	1.78	167	In2 Mo15 Se19
262	8	31	23	5.0	1.0	2.0	3.44	1.81	1.63	12	V2 Ga1 O5
263	15	16	73	1.0	6.0	1.0	2.19	2.58	1.5	142	Ta1 P1 S6
264	16	81	29	2.0	1.0	3.0	2.58	1.62	1.9	12	Tl1 Cu3 S2
265	81	42	34	2.0	6.0	6.0	1.62	2.16	2.55	176	Tl2 Mo6 Se6
266	81	52	47	1.0	1.0	1.0	1.62	2.1	1.93	62	Tl1 Ag1 Te1
267	82	76	8	2.0	2.0	6.0	2.33	2.2	3.44	227	Os2 Pb2 O6
268	15	8	48	2.0	7.0	2.0	2.19	3.44	1.69	2	Cd2 P2 O7
269	32	25	16	1.0	2.0	4.0	2.01	1.55	2.58	62	Mn2 Ge1 S4
270	16	47	31	2.0	1.0	1.0	2.58	1.93	1.81	122	Ga1 Ag1 S2
271	15	8	29	4.0	12.0	2.0	2.19	3.44	1.9	15	Cu2 P4 O12
272	16	6	73	2.0	1.0	2.0	2.58	2.55	1.5	164	Ta2 C1 S2
273	8	47	7	2.0	1.0	1.0	3.44	1.93	3.04	44	Ag1 N1 O2
274	14	8	48	1.0	4.0	2.0	1.9	3.44	1.69	70	Cd2 Si1 O4
275	5	27	8	2.0	3.0	6.0	2.04	1.88	3.44	58	Co3 B2 O6
276	82	8	47	1.0	2.0	2.0	2.33	3.44	1.93	15	Ag2 Pb1 O2
277	82	8	47	2.0	6.0	5.0	2.33	3.44	1.93	157	Ag5 Pb2 O6
278	15	8	74	2.0	8.0	1.0	2.19	3.44	2.36	12	P2 W1 O8
279	15	8	74	2.0	11.0	2.0	2.19	3.44	2.36	11	P2 W2 O11
280	15	41	8	1.0	1.0	5.0	2.19	1.6	3.44	85	Nb1 P1 O5
281	21	8	9	1.0	1.0	1.0	1.36	3.44	3.98	14	Sc1 O1 F1
282	16	14	29	3.0	1.0	2.0	2.58	1.9	1.9	143	Si1 Cu2 S3
283	39	50	8	2.0	2.0	7.0	1.22	1.96	3.44	227	Y2 Sn2 O7
284	30	50	8	2.0	1.0	4.0	1.65	1.96	3.44	227	Zn2 Sn1 O4
285	5	27	8	2.0	2.0	5.0	2.04	1.88	3.44	2	Co2 B2 O5
286	16	14	29	6.0	1.0	8.0	2.58	1.9	1.9	31	Si1 Cu8 S6
287	17	8	23	2.0	1.0	1.0	3.16	3.44	1.63	71	V1 Cl2 O1
288	8	35	23	1.0	2.0	1.0	3.44	2.96	1.63	71	V1 Br2 O1
289	15	16	29	1.0	4.0	3.0	2.19	2.58	1.9	31	Cu3 P1 S4
290	25	50	8	1.0	1.0	3.0	1.55	1.96	3.44	167	Mn1 Sn1 O3
291	16	46	7	6.0	1.0	2.0	2.58	2.2	3.04	14	Pd1 S6 N2
292	28	6	8	1.0	4.0	4.0	1.91	2.55	3.44	205	Ni1 C4 O4
293	15	16	47	2.0	6.0	4.0	2.19	2.58	1.93	14	Ag4 P2 S6
294	15	8	74	8.0	52.0	12.0	2.19	3.44	2.36	62	P8 W12 O52
295	15	42	8	1.0	1.0	5.0	2.19	2.16	3.44	85	Mo1 P1 O5
296	25	8	49	1.0	4.0	2.0	1.55	3.44	1.78	227	Mn1 In2 O4
297	16	13	47	2.0	1.0	1.0	2.58	1.61	1.93	156	Al1 Ag1 S2
298	8	74	17	1.0	1.0	4.0	3.44	2.36	3.16	79	W1 Cl4 O1
299	16	35	47	1.0	1.0	3.0	2.58	2.96	1.93	221	Ag3 S1 Br1
300	53	16	47	1.0	1.0	3.0	2.66	2.58	1.93	221	Ag3 S1 I1
301	8	13	29	2.0	1.0	1.0	3.44	1.61	1.9	166	Al1 Cu1 O2
302	16	80	13	4.0	1.0	2.0	2.58	2.0	1.61	82	Al2 Hg1 S4
